process	log2fc
Glycolysis induction	4.2
mTOR signaling	3.8
Cell cycle progression	3.5
Angiogenesis	3.1
PI3K/AKT pathway	2.9
Ribosome biogenesis	2.6
Protein synthesis	2.3
Oxidative stress response	2.0
Chromatin remodeling	1.7
Lipid biosynthesis	1.4
mRNA processing	1.1
Cytoskeleton dynamics	0.8
Cell adhesion	0.5
Ion channel activity	-0.4
Mitochondrial respiration	-0.7
Fatty acid oxidation	-1.0
Autophagy	-1.3
Antigen presentation	-1.6
Apoptosis signaling	-1.9
DNA damage response	-2.2
Interferon signaling	-2.5
T cell activation	-2.8
NK cell cytotoxicity	-3.1
Complement cascade	-3.3
Antiviral defense	-3.5
