gene	chr	pos	basemean	log2fc	pvalue	padj
Gene_0258	chr14	95728511	339.6	-0.072	2.028155e-02	1.000000e+00
Gene_7020	chr15	65884432	62.6	-0.3134	3.452621e-02	1.000000e+00
Gene_2676	chr2	51484066	813.9	-0.2372	4.533149e-04	1.000000e+00
Gene_4383	chr1	111819797	288.9	-0.1729	1.223625e-02	1.000000e+00
Gene_1989	chr17	53400338	877.3	0.0947	2.491673e-02	1.000000e+00
Gene_4466	chr1	15052400	25.7	-0.1615	4.139093e-01	1.000000e+00
Gene_5063	chr4	141442935	9.9	-0.0906	2.132282e-01	1.000000e+00
Gene_5650	chr4	173174043	31.3	-0.7818	4.271672e-02	1.000000e+00
Gene_1209	chr2	30271733	468.1	0.1968	3.817421e-03	1.000000e+00
Gene_3007	chr5	171506234	2158.7	-0.1889	7.269417e-03	1.000000e+00
Gene_3925	chr8	25457747	11.6	-0.3649	9.657029e-03	1.000000e+00
Gene_6072	chr3	65655587	211.1	-0.2821	2.716134e-02	1.000000e+00
Gene_5745	chr4	45881040	1260.2	-0.6315	2.392886e-03	1.000000e+00
Gene_2255	chr8	21614052	100.1	-0.0408	9.465099e-03	1.000000e+00
Gene_5496	chr11	45273291	685.4	-0.2237	2.936563e-02	3.718950e-01
Gene_1547	chr20	27183774	54.6	0.1637	2.871709e-01	1.000000e+00
Gene_6395	chr1	105337866	276.3	0.5209	1.133215e-02	1.000000e+00
Gene_5565	chr8	85464337	182.5	-0.3474	2.568331e-02	1.000000e+00
Gene_5730	chr4	79745297	3.2	-0.0091	1.894971e-03	1.753401e-02
Gene_2368	chr1	193650096	180.8	-0.2172	6.564031e-02	1.280511e-01
Gene_7547	chr6	83509810	1388.2	-0.2017	7.304424e-02	1.964069e-01
Gene_4351	chr12	120334812	181.4	0.1393	4.078123e-04	1.000000e+00
Gene_2468	chr12	27366130	728.9	0.2082	1.528315e-01	1.000000e+00
Gene_5359	chr15	94289590	727.0	0.3417	2.232108e-01	1.000000e+00
Gene_3060	chr2	134748630	849.5	-0.0103	4.280697e-01	1.000000e+00
Gene_2635	chr11	58610128	26.3	-0.0967	4.752987e-02	1.000000e+00
Gene_4989	chr14	54220088	1808.6	0.3259	1.589564e-02	1.000000e+00
Gene_0594	chr18	10980069	113.6	0.555	2.642625e-02	1.000000e+00
Gene_4938	chr2	130331157	70.9	-0.2071	3.305145e-02	1.000000e+00
Gene_7962	chrX	9224008	30.4	3.3599	1.029852e-05	1.000000e+00
Gene_3531	chr2	81133302	72.3	0.0052	1.678870e-03	7.807823e-02
Gene_3100	chr13	31383004	31.2	-0.31	1.629397e-02	1.000000e+00
Gene_7702	chr6	81860011	388.8	4.2565	2.194359e-04	3.151013e-03
Gene_2554	chr1	24976073	547.6	0.3132	7.978810e-02	1.000000e+00
Gene_3851	chr1	240769228	754.0	0.0002	1.223496e-03	2.782030e-01
Gene_6300	chr14	54834129	1967.8	0.1061	1.725788e-01	1.448510e-01
Gene_4955	chr10	97050748	53.1	0.3184	2.218390e-03	8.768853e-01
Gene_1304	chrX	105009345	71.2	0.446	7.433542e-02	2.759291e-01
Gene_5486	chr1	159607929	99.7	0.0625	3.315366e-02	1.000000e+00
Gene_6653	chr4	56304971	7.1	0.2108	2.335853e-02	1.000000e+00
Gene_6711	chr3	124993263	505.4	-0.6036	9.548919e-03	1.000000e+00
Gene_4965	chr5	54069293	77.2	0.4343	2.870665e-04	1.000000e+00
Gene_0825	chr4	141896853	9.0	0.0438	3.613680e-03	1.000000e+00
Gene_1126	chrX	99349994	1128.5	-0.0041	1.166603e-01	1.000000e+00
Gene_3425	chr5	21356666	526.1	-0.0808	3.380930e-02	1.000000e+00
